Date,Open,High,Low,Close,Volume,Adj Close
2014-09-02,169.29,170.34,168.84,169.81,611200,168.94
2014-08-29,169.00,169.35,167.92,169.20,517800,168.33
2014-08-28,168.45,169.27,167.29,169.05,658700,168.18
2014-08-27,169.75,170.63,168.66,169.68,635700,168.81
2014-08-26,169.90,169.90,168.64,169.00,805800,168.13
2014-08-25,170.29,170.73,169.65,169.96,624400,169.09
2014-08-22,169.50,170.83,168.81,169.77,583800,168.90
2014-08-21,169.54,170.00,168.41,169.27,731700,168.40
2014-08-20,166.42,169.91,165.83,169.33,995000,168.46
2014-08-19,165.73,167.03,165.73,167.00,530500,166.14
2014-08-18,164.58,166.35,164.07,165.36,575400,164.51
2014-08-15,164.04,164.51,162.17,163.54,846100,162.70
2014-08-14,162.13,163.34,161.20,163.18,577400,162.34
2014-08-13,162.70,162.85,159.95,162.24,1141900,161.41
2014-08-12,162.67,163.88,161.78,162.78,1262600,161.94
2014-08-11,161.50,163.42,161.01,162.76,1031500,161.92
2014-08-08,158.14,160.55,157.27,160.44,645700,159.62
2014-08-07,159.10,159.96,157.51,158.12,1345500,157.31
2014-08-06,152.22,158.00,152.22,156.88,1953900,156.07
2014-08-05,154.65,157.46,154.19,156.57,1446200,155.77
2014-08-04,154.55,156.60,154.24,156.30,837100,155.50
2014-08-01,155.97,156.92,153.87,154.55,788500,153.76
2014-07-31,157.58,158.62,155.64,155.86,809300,155.06
2014-07-30,158.83,159.86,158.47,159.35,652600,158.53
2014-07-29,159.95,160.00,158.28,158.33,693800,157.52
2014-07-28,159.96,160.60,158.95,159.92,362300,159.10
2014-07-25,161.13,161.51,159.44,159.64,416200,158.82
2014-07-24,160.27,161.84,159.74,161.52,423700,160.69
2014-07-23,159.43,159.72,158.45,159.50,292400,158.68
2014-07-22,157.96,160.06,157.14,159.23,530100,158.41
2014-07-21,157.25,158.37,156.96,157.77,411100,156.96
2014-07-18,157.69,158.13,156.53,157.69,560500,156.88
2014-07-17,157.68,158.24,156.89,157.19,534000,156.38
2014-07-16,159.03,159.65,157.78,158.00,639200,157.19
2014-07-15,158.86,159.72,158.51,158.86,467000,158.04
2014-07-14,160.09,160.39,158.97,159.46,412100,158.64
2014-07-11,160.19,160.19,158.40,159.13,565900,158.31
2014-07-10,161.10,161.51,159.80,159.97,662100,159.15
2014-07-09,161.19,163.24,160.77,162.92,881000,162.08
2014-07-08,161.70,161.88,160.45,160.88,944300,160.05
2014-07-07,162.52,162.91,161.58,161.88,736200,161.05
2014-07-03,162.02,163.37,162.00,162.88,415800,162.04
2014-07-02,161.63,162.49,161.24,161.45,732400,160.62
2014-07-01,161.15,164.01,160.44,161.63,1085300,160.80
2014-06-30,161.00,161.11,159.05,160.69,672100,159.86
2014-06-27,157.08,160.75,156.41,160.42,1404400,159.60
2014-06-26,155.93,157.27,154.77,157.08,1069100,156.27
2014-06-25,157.48,158.33,155.72,155.94,1100400,155.14
2014-06-24,156.09,160.27,155.91,157.90,1520900,156.64
2014-06-23,155.46,156.18,154.78,156.09,667700,154.85
2014-06-20,155.50,156.00,154.17,155.57,1022300,154.33
2014-06-19,156.05,156.50,153.95,154.25,650200,153.02
2014-06-18,154.84,156.22,154.40,156.00,611300,154.76
2014-06-17,152.88,155.06,152.88,154.69,527600,153.46
2014-06-16,153.05,153.62,152.65,153.00,507600,151.78
2014-06-13,152.75,153.80,152.40,153.54,791500,152.32
2014-06-12,152.81,153.35,152.39,152.69,674000,151.47
2014-06-11,154.59,154.59,153.13,153.44,458000,152.22
2014-06-10,155.30,155.30,154.36,154.65,577500,153.42
2014-06-09,154.74,155.75,154.69,155.31,534200,154.07
2014-06-06,154.38,154.96,153.89,154.50,681000,153.27
2014-06-05,154.38,154.81,153.03,154.27,1356700,153.04
2014-06-04,153.47,155.96,153.00,155.41,848200,154.17
2014-06-03,152.18,154.46,152.00,154.27,658400,153.04
2014-06-02,153.58,153.77,152.76,153.17,575300,151.95
2014-05-30,152.68,153.79,152.68,153.48,587000,152.26
2014-05-29,152.81,153.09,152.10,153.06,474900,151.84
2014-05-28,154.44,154.60,152.38,152.60,869700,151.38
2014-05-27,153.21,154.41,152.74,153.50,790000,152.28
2014-05-23,152.01,152.86,151.25,152.72,578600,151.50
2014-05-22,150.56,152.26,150.38,151.90,661900,150.69
2014-05-21,150.44,151.70,149.88,150.82,587400,149.62
2014-05-20,151.00,151.18,149.84,150.26,1021800,149.06
2014-05-19,149.39,151.21,149.39,150.99,972800,149.79
2014-05-16,147.93,149.90,147.17,149.77,1056100,148.58
2014-05-15,147.10,147.78,145.40,147.47,1087000,146.29
2014-05-14,149.16,149.73,147.26,147.52,760500,146.34
2014-05-13,147.34,150.18,147.34,149.16,1557700,147.97
